0.000	0.0000000000000000E+00
0.001	-2.3029318187125500E-03
0.002	-4.1625211545197800E-03
0.003	-5.6426445809707300E-03
0.004	-6.8071786716144500E-03
0.005	-7.7200000000000000E-03
0.006	-8.4449851396764300E-03
0.007	-9.0460106641927800E-03
0.008	-9.5856527897895800E-03
0.009	-1.0096579514611400E-02
0.010	-1.0581550618706900E-02
0.011	-1.1042025524816200E-02
0.012	-1.1479463655679400E-02
0.013	-1.1895324827626600E-02
0.014	-1.2291077909557900E-02
0.015	-1.2668200822943400E-02
0.016	-1.3028171882843200E-02
0.017	-1.3372469404317300E-02
0.018	-1.3702571702426000E-02
0.019	-1.4019957092229200E-02
0.020	-1.4326103888787100E-02
0.021	-1.4622490407159800E-02
0.022	-1.4910594962407300E-02
0.023	-1.5191895869589800E-02
0.024	-1.5467871443767300E-02
0.025	-1.5740000000000000E-02
0.026	-1.6009513645051900E-02
0.027	-1.6276659652503400E-02
0.028	-1.6541439087638700E-02
0.029	-1.6803853015742000E-02
0.030	-1.7063902502097700E-02
0.031	-1.7321588611990100E-02
0.032	-1.7576912410703400E-02
0.033	-1.7829874963521800E-02
0.034	-1.8080477335729800E-02
0.035	-1.8328720592611500E-02
0.036	-1.8574605799451300E-02
0.037	-1.8818134021533400E-02
0.038	-1.9059306324142100E-02
0.039	-1.9298123772561700E-02
0.040	-1.9534587432076400E-02
0.041	-1.9768698367970600E-02
0.042	-2.0000457645528600E-02
0.043	-2.0229866330034500E-02
0.044	-2.0456925486772800E-02
0.045	-2.0681636181027600E-02
0.046	-2.0903999478083200E-02
0.047	-2.1124016443224000E-02
0.048	-2.1341688141734200E-02
0.049	-2.1557015638898100E-02
0.050	-2.1770000000000000E-02
0.051	-2.1980650853155200E-02
0.052	-2.2189012077803700E-02
0.053	-2.2395136116216200E-02
0.054	-2.2599075410663900E-02
0.055	-2.2800882403417600E-02
0.056	-2.3000609536748200E-02
0.057	-2.3198309252926700E-02
0.058	-2.3394033994224000E-02
0.059	-2.3587836202911100E-02
0.060	-2.3779768321258900E-02
0.061	-2.3969882791538400E-02
0.062	-2.4158232056020400E-02
0.063	-2.4344868556976000E-02
0.064	-2.4529844736676000E-02
0.065	-2.4713213037391500E-02
0.066	-2.4895025901393300E-02
0.067	-2.5075335770952400E-02
0.068	-2.5254195088339700E-02
0.069	-2.5431656295826100E-02
0.070	-2.5607771835682700E-02
0.071	-2.5782594150180300E-02
0.072	-2.5956175681589900E-02
0.073	-2.6128568872182400E-02
0.074	-2.6299826164228800E-02
0.075	-2.6470000000000000E-02
0.076	-2.6639134782327100E-02
0.077	-2.6807242756281900E-02
0.078	-2.6974328127496300E-02
0.079	-2.7140395101602400E-02
0.080	-2.7305447884232100E-02
0.081	-2.7469490681017300E-02
0.082	-2.7632527697590000E-02
0.083	-2.7794563139582200E-02
0.084	-2.7955601212625800E-02
0.085	-2.8115646122352900E-02
0.086	-2.8274702074395200E-02
0.087	-2.8432773274384900E-02
0.088	-2.8589863927953900E-02
0.089	-2.8745978240734200E-02
0.090	-2.8901120418357600E-02
0.091	-2.9055294666456200E-02
0.092	-2.9208505190662000E-02
0.093	-2.9360756196606800E-02
0.094	-2.9512051889922700E-02
0.095	-2.9662396476241600E-02
0.096	-2.9811794161195500E-02
0.097	-2.9960249150416300E-02
0.098	-3.0107765649536000E-02
0.099	-3.0254347864186600E-02
0.100	-3.0400000000000000E-02
0.101	-3.0544726825002300E-02
0.102	-3.0688535356795800E-02
0.103	-3.0831433175377100E-02
0.104	-3.0973427860742500E-02
0.105	-3.1114526992888500E-02
0.106	-3.1254738151811600E-02
0.107	-3.1394068917508300E-02
0.108	-3.1532526869975000E-02
0.109	-3.1670119589208100E-02
0.110	-3.1806854655204100E-02
0.111	-3.1942739647959600E-02
0.112	-3.2077782147470900E-02
0.113	-3.2211989733734500E-02
0.114	-3.2345369986746800E-02
0.115	-3.2477930486504400E-02
0.116	-3.2609678813003600E-02
0.117	-3.2740622546241000E-02
0.118	-3.2870769266213000E-02
0.119	-3.3000126552916100E-02
0.120	-3.3128701986346700E-02
0.121	-3.3256503146501200E-02
0.122	-3.3383537613376200E-02
0.123	-3.3509812966968100E-02
0.124	-3.3635336787273400E-02
0.125	-3.3760116654288400E-02
0.126	-3.3884160148009800E-02
0.127	-3.4007474848433800E-02
0.128	-3.4130068335557100E-02
0.129	-3.4251948189376100E-02
0.130	-3.4373121989887100E-02
0.131	-3.4493597317086700E-02
0.132	-3.4613381750971400E-02
0.133	-3.4732482871537500E-02
0.134	-3.4850908258781600E-02
0.135	-3.4968665492700200E-02
0.136	-3.5085762153289600E-02
0.137	-3.5202205820546300E-02
0.138	-3.5318004074466800E-02
0.139	-3.5433164495047600E-02
0.140	-3.5547694662285000E-02
0.141	-3.5661602156175700E-02
0.142	-3.5774894556716000E-02
0.143	-3.5887579443902300E-02
0.144	-3.5999664397731200E-02
0.145	-3.6111156998199200E-02
0.146	-3.6222064825302600E-02
0.147	-3.6332395459037900E-02
0.148	-3.6442156479401600E-02
0.149	-3.6551355466390100E-02
0.150	-3.6660000000000000E-02
0.151	-3.6768096677695300E-02
0.152	-3.6875648166810600E-02
0.153	-3.6982656152148400E-02
0.154	-3.7089122318511000E-02
0.155	-3.7195048350700600E-02
0.156	-3.7300435933519600E-02
0.157	-3.7405286751770300E-02
0.158	-3.7509602490255100E-02
0.159	-3.7613384833776300E-02
0.160	-3.7716635467136200E-02
0.161	-3.7819356075137200E-02
0.162	-3.7921548342581500E-02
0.163	-3.8023213954271500E-02
